filename,total_segments,majority_intensity,average_confidence,low_segments,medium_segments,high_segments
L05 Cards01.c3d.ontrackclassifier.joblib,4,medium,8.328363431834093,1,3,0
L05 Cards02.c3d.ontrackclassifier.joblib,3,medium,0.367530623789531,0,3,0
L05 Cards03.c3d.ontrackclassifier.joblib,4,medium,0.31683114019093606,0,3,1
L05 Drinking01.c3d.ontrackclassifier.joblib,2,low,0.8787999374918307,1,1,0
L05 Drinking02.c3d.ontrackclassifier.joblib,2,low,2.275517352176147,1,1,0
L05 Drinking03.c3d.ontrackclassifier.joblib,2,medium,0.16601852601374112,0,2,0
L05 Eating01.c3d.ontrackclassifier.joblib,1,low,0.6231067771680924,1,0,0
L05 Eating02.c3d.ontrackclassifier.joblib,1,medium,0.12100732973952136,0,1,0
L05 Eating03.c3d.ontrackclassifier.joblib,1,medium,0.12430637873281415,0,1,0
L05 Glass01.c3d.ontrackclassifier.joblib,1,low,0.8614511775891193,1,0,0
L05 Glass02.c3d.ontrackclassifier.joblib,1,low,0.37922526225802955,1,0,0
L05 Glass03.c3d.ontrackclassifier.joblib,1,low,1.0762533156814686,1,0,0
L05 HairBrushing01.c3d.ontrackclassifier.joblib,2,medium,0.13478185414928134,0,2,0
L05 HairBrushing02.c3d.ontrackclassifier.joblib,1,low,0.4985215660947163,1,0,0
L05 HairBrushing03.c3d.ontrackclassifier.joblib,1,medium,0.47162756770279735,0,1,0
L05 Key01.c3d.ontrackclassifier.joblib,2,high,1.5681157281164246,1,0,1
L05 Key02.c3d.ontrackclassifier.joblib,2,high,1.060699188505752,0,0,2
L05 Key03.c3d.ontrackclassifier.joblib,2,high,0.4171501212949227,0,1,1
L05 Lying01.c3d.ontrackclassifier.joblib,5,medium,0.4335064455040897,1,4,0
L05 Moisturiser01.c3d.ontrackclassifier.joblib,2,medium,0.30181639715815234,0,2,0
L05 Moisturiser02.c3d.ontrackclassifier.joblib,2,medium,0.2295387015140127,0,2,0
L05 Moisturiser03.c3d.ontrackclassifier.joblib,2,medium,0.3163056436638351,0,2,0
L05 Reading01.c3d.ontrackclassifier.joblib,3,medium,0.38240665210777064,1,2,0
L05 Reading02.c3d.ontrackclassifier.joblib,3,medium,0.3239794724440724,0,3,0
L05 Reading03.c3d.ontrackclassifier.joblib,3,medium,1.4044619197441748,1,2,0
L05 Sitting01.c3d.ontrackclassifier.joblib,5,high,0.5628464595476037,0,1,4
L05 SitToStand01.c3d.ontrackclassifier.joblib,2,low,2.330928306221055,1,1,0
L05 SitToStand02.c3d.ontrackclassifier.joblib,2,low,0.3461240673372508,1,1,0
L05 SitToStand03.c3d.ontrackclassifier.joblib,2,medium,0.03086600066169446,0,2,0
L05 ToothBrushing01.c3d.ontrackclassifier.joblib,2,medium,0.2228249330761073,0,2,0
L05 ToothBrushing02.c3d.ontrackclassifier.joblib,3,medium,0.2250760963406798,0,3,0
L05 ToothBrushing03.c3d.ontrackclassifier.joblib,3,medium,0.1333674198751544,0,3,0
L05 Walk01.c3d.ontrackclassifier.joblib,2,high,0.9600032072669624,0,0,2
L05 Walk02.c3d.ontrackclassifier.joblib,2,high,1.0783748563022586,1,0,1
L05 Walk03.c3d.ontrackclassifier.joblib,2,high,1.0519830683822053,0,0,2
L05 WalkingObject01.c3d.ontrackclassifier.joblib,2,medium,0.4189973089948956,0,2,0
L05 WalkingObject02.c3d.ontrackclassifier.joblib,2,medium,0.4582853981298683,0,2,0
L05 WalkingObject03.c3d.ontrackclassifier.joblib,2,medium,0.4224538376886793,0,2,0
L05 Writing01.c3d.ontrackclassifier.joblib,2,low,0.4481748906273856,1,1,0
L05 Writing02.c3d.ontrackclassifier.joblib,1,low,0.12262511658020232,1,0,0
L05 Writing03.c3d.ontrackclassifier.joblib,2,medium,0.23480760968076042,0,2,0
